,codigo,setor,precoAtual,liquidezDiaria,dividendo,dividendYield,dividendYieldAnual,variacaoPreco,pvp,vacanciaFisica,vacanciaFinanceira
28,BLCP11,Outros,"R$ 91,00",123.0,"R$ 0,56","0,62%","5,31%","-0,54%","0,81","6,20%",N/A
29,BLMC11,Outros,"R$ 71,00",34.0,"R$ 0,87","1,18%","2,26%","-1,97%","0,74",N/A,N/A
30,BLMG11,Logística,"R$ 60,93",5536.0,"R$ 0,78","1,15%","2,30%","-0,98%","0,64","0,00%","0,00%"
31,BLMO11,Lajes Corporativas,"R$ 20.999,00",1.0,"R$ 50,00","0,24%","0,24%","0,00%","0,63","0,00%",N/A
32,BLMR11,Títulos e Val. Mob.,"R$ 6,32",47672.0,"R$ 0,07","1,05%","2,08%","-2,05%","0,84",N/A,N/A
33,BMLC11,Lajes Corporativas,"R$ 101,00",40.0,"R$ 0,69","0,68%","1,32%","-0,23%","0,93","7,00%",N/A
34,BNFS11,Outros,"R$ 114,00",559.0,"R$ 1,35","1,11%","2,19%","-1,08%","1,25","0,00%",N/A
35,BODB11,Renda,"R$ 9,78",47649.0,"R$ 0,11","1,12%","1,12%","0,00%",N/A,N/A,N/A
36,BPFF11,Títulos e Val. Mob.,"R$ 59,00",5695.0,"R$ 0,62","1,01%","1,97%","-5,14%","0,82",N/A,N/A
37,BPML11,Shoppings,"R$ 56,00",10.0,"R$ 0,27","0,46%","0,46%","0,00%","0,45","5,80%",N/A
38,BRCO11,Logística,"R$ 93,01",14918.0,"R$ 0,62","0,66%","1,31%","-3,06%","0,77","0,00%","0,00%"
